SpPair,program,ploidy,category,n
CruTar,OFb,full,one:one,12166
CruTar,OFb,full,1:M,1555
CruTar,OFb,full,M:1,1139
CruTar,OFb,full,M:M,1415
CruSal,OFb,full,one:one,9005
CruSal,OFb,full,1:M,6631
CruSal,OFb,full,M:1,778
CruSal,OFb,full,M:M,1937
CruBra,OFb,full,one:one,8836
CruBra,OFb,full,1:M,7369
CruBra,OFb,full,M:1,612
CruBra,OFb,full,M:M,2242
CruCsa,OFb,full,one:one,1773
CruCsa,OFb,full,1:M,15262
CruCsa,OFb,full,M:1,157
CruCsa,OFb,full,M:M,2927
CruAar,OFb,full,one:one,13546
CruAar,OFb,full,1:M,1069
CruAar,OFb,full,M:1,1894
CruAar,OFb,full,M:M,416
TarSal,OFb,full,one:one,7329
TarSal,OFb,full,1:M,5590
TarSal,OFb,full,M:1,1021
TarSal,OFb,full,M:M,1920
TarBra,OFb,full,one:one,7039
TarBra,OFb,full,1:M,6190
TarBra,OFb,full,M:1,908
TarBra,OFb,full,M:M,2093
TarCsa,OFb,full,one:one,1397
TarCsa,OFb,full,1:M,12137
TarCsa,OFb,full,M:1,248
TarCsa,OFb,full,M:M,2832
TarAar,OFb,full,one:one,11181
TarAar,OFb,full,1:M,976
TarAar,OFb,full,M:1,2192
TarAar,OFb,full,M:M,376
SalBra,OFb,full,one:one,8278
SalBra,OFb,full,1:M,2112
SalBra,OFb,full,M:1,1298
SalBra,OFb,full,M:M,7527
SalCsa,OFb,full,one:one,1073
SalCsa,OFb,full,1:M,8908
SalCsa,OFb,full,M:1,695
SalCsa,OFb,full,M:M,7943
SalAar,OFb,full,one:one,8060
SalAar,OFb,full,1:M,617
SalAar,OFb,full,M:1,6929
SalAar,OFb,full,M:M,860
BraCsa,OFb,full,one:one,1145
BraCsa,OFb,full,1:M,8448
BraCsa,OFb,full,M:1,691
BraCsa,OFb,full,M:M,8951
BraAar,OFb,full,one:one,7767
BraAar,OFb,full,1:M,569
BraAar,OFb,full,M:1,7557
BraAar,OFb,full,M:M,930
CsaAar,OFb,full,one:one,1549
CsaAar,OFb,full,1:M,153
CsaAar,OFb,full,M:1,14052
CsaAar,OFb,full,M:M,1383
AthChi,OFd,full,one:one,15738
AthChi,OFd,full,1:M,1369
AthChi,OFd,full,M:1,855
AthChi,OFd,full,M:M,1797
AthCru,OFd,full,one:one,16550
AthCru,OFd,full,1:M,851
AthCru,OFd,full,M:1,785
AthCru,OFd,full,M:M,1910
AthTar,OFd,full,one:one,12660
AthTar,OFd,full,1:M,1651
AthTar,OFd,full,M:1,1049
AthTar,OFd,full,M:M,1231
AthSal,OFd,full,one:one,9582
AthSal,OFd,full,1:M,6664
AthSal,OFd,full,M:1,757
AthSal,OFd,full,M:M,1692
AthBra,OFd,full,one:one,9357
AthBra,OFd,full,1:M,7411
AthBra,OFd,full,M:1,628
AthBra,OFd,full,M:M,1924
AthCsa,OFd,full,one:one,2165
AthCsa,OFd,full,1:M,15424
AthCsa,OFd,full,M:1,186
AthCsa,OFd,full,M:M,2549
AthAar,OFd,full,one:one,13784
AthAar,OFd,full,1:M,1171
AthAar,OFd,full,M:1,1649
AthAar,OFd,full,M:M,392
ChiCru,OFd,full,one:one,15557
ChiCru,OFd,full,1:M,886
ChiCru,OFd,full,M:1,1354
ChiCru,OFd,full,M:M,1741
ChiTar,OFd,full,one:one,12196
ChiTar,OFd,full,1:M,1538
ChiTar,OFd,full,M:1,1455
ChiTar,OFd,full,M:M,1323
ChiSal,OFd,full,one:one,9210
ChiSal,OFd,full,1:M,6445
ChiSal,OFd,full,M:1,1081
ChiSal,OFd,full,M:M,1873
ChiBra,OFd,full,one:one,8979
ChiBra,OFd,full,1:M,7166
ChiBra,OFd,full,M:1,911
ChiBra,OFd,full,M:M,2148
ChiCsa,OFd,full,one:one,2134
ChiCsa,OFd,full,1:M,14581
ChiCsa,OFd,full,M:1,292
ChiCsa,OFd,full,M:M,2946
ChiAar,OFd,full,one:one,13316
ChiAar,OFd,full,1:M,1141
ChiAar,OFd,full,M:1,2076
ChiAar,OFd,full,M:M,420
CruTar,OFd,full,one:one,12541
CruTar,OFd,full,1:M,1606
CruTar,OFd,full,M:1,1078
CruTar,OFd,full,M:M,1245
CruSal,OFd,full,one:one,9514
CruSal,OFd,full,1:M,6635
CruSal,OFd,full,M:1,781
CruSal,OFd,full,M:M,1695
CruBra,OFd,full,one:one,9365
CruBra,OFd,full,1:M,7381
CruBra,OFd,full,M:1,631
CruBra,OFd,full,M:M,1983
CruCsa,OFd,full,one:one,2196
CruCsa,OFd,full,1:M,15444
CruCsa,OFd,full,M:1,191
CruCsa,OFd,full,M:M,2662
CruAar,OFd,full,one:one,13684
CruAar,OFd,full,1:M,1147
