,method,SpeciesPair,numberOfExactOG,totalGenes,proportionOfExactOG,meanJI,sdJI,seJI
18,OFm,TarSal,5200,25010,0.20791683326669333,0.3554603811990559,0.39142996292738064,0.0024751254789684035
19,OFm,TarBra,5068,24998,0.2027362188975118,0.35162814078730026,0.385535402292691,0.0024384375192000075
20,OFm,TarCsa,664,24933,0.026631372077166808,0.20539486308196314,0.22757692455596595,0.001441255426954368
21,OFm,TarAar,6703,24982,0.2683131854935554,0.35438100796961264,0.42638037880212903,0.002697637617652439
22,OFm,SalBra,7060,38408,0.18381587169339722,0.29507126519465576,0.3743465063478175,0.0019101300542015954
23,OFm,SalCsa,403,38304,0.01052109440267335,0.1274491608043016,0.1769693494515602,0.000904223916931781
24,OFm,SalAar,5154,38411,0.1341803129311916,0.2217934967608816,0.3536170151332435,0.0018042858659819408
25,OFm,BraCsa,486,39034,0.012450684019060307,0.1357832749175435,0.18346022730966927,0.0009285822939920666
26,OFm,BraAar,5168,39074,0.13226186210779547,0.2198022435611324,0.3509039108769706,0.0017751876687757031
27,OFm,CsaAar,565,22223,0.025424110156144535,0.21727645435605164,0.22005235336001125,0.0014761302301123697
0,ON,AthChi,10606,26583,0.3989767896776135,0.503084399866614,0.43860706951411116,0.0026901322550719124
1,ON,AthCru,11924,26583,0.44855734868148817,0.5452925242151184,0.44016153786492823,0.0026996663591497467
2,ON,AthTar,7751,26583,0.29157732385359064,0.39244072936098806,0.4282540335453102,0.002626633424493453
3,ON,AthSal,5700,26583,0.21442275138246247,0.3682006910011621,0.3817087540412877,0.002341154766217791
4,ON,AthBra,5970,26582,0.22458806711308404,0.38564161423089316,0.3819383158491424,0.002342606812498741
5,ON,AthCsa,206,26587,0.007748147590927897,0.2180484282502152,0.18708563845716536,0.0011473760560203473
6,ON,AthAar,8181,26581,0.30777623114254543,0.39737878745647837,0.4361809077982718,0.0026753523907134618
7,ON,ChiCru,10627,29235,0.36350265093210193,0.4566098588711802,0.44381348308877633,0.0025956668037375335
8,ON,ChiTar,7220,29235,0.2469642551735933,0.3404922433406343,0.4165005031656272,0.0024359253853284703
9,ON,ChiSal,5225,29235,0.17872413203352147,0.32049173706470246,0.37291803044512367,0.002181030971400133
10,ON,ChiBra,5492,29236,0.18785059515665617,0.3369133573955541,0.37400630957773473,0.0021873584202875213
11,ON,ChiCsa,169,29238,0.0057801491210069085,0.19077802059282795,0.18758394282008087,0.0010970383988933724
12,ON,ChiAar,7585,29235,0.2594492902343082,0.34611461327585596,0.4233054867645234,0.0024757246944993004
13,ON,CruTar,7726,27182,0.2842322124935619,0.3812707898740339,0.42782485031746365,0.0025949279449071047
14,ON,CruSal,5645,27186,0.20764364010887956,0.35831564152706796,0.38124926648221036,0.0023122583716061198
15,ON,CruBra,5990,27185,0.2203421004230274,0.3791856717963387,0.3819187422370299,0.002316361312187112
16,ON,CruCsa,230,27186,0.008460236886632826,0.22566610466862022,0.19362141624921322,0.0011743045298825956
17,ON,CruAar,8084,27183,0.29739175219806496,0.38482446686070365,0.4345137654469951,0.0026354503992135235
18,ON,TarSal,4384,25871,0.1694561478102895,0.32360057777266893,0.37216008889224683,0.002313785999122358
19,ON,TarBra,4414,25872,0.17060915275200988,0.3229670554474981,0.3694007366687037,0.002296586226699855
20,ON,TarCsa,108,25870,0.0041747197526092,0.16939462394740204,0.18003994073497584,0.001119362225569297
21,ON,TarAar,6161,25868,0.2381707128498531,0.33301319546021907,0.41327062973580136,0.0025695265878783167
22,ON,SalBra,5985,39067,0.15319835154990144,0.26889000041922756,0.353485855484444,0.0017884096689439995
23,ON,SalCsa,116,39063,0.002969561989606533,0.11326925758194249,0.15097409073154447,0.0007638703022610647
24,ON,SalAar,4645,39060,0.11891961085509473,0.21183878800938663,0.34035267861344254,0.0017221185841288572
25,ON,BraCsa,125,39797,0.00314094027187979,0.1195602558557588,0.15419148659827434,0.0007729212152931729
26,ON,BraAar,4708,39797,0.11830037440008041,0.20915358682220075,0.338616612804422,0.0016973956841673046
27,ON,CsaAar,101,22493,0.004490285866714089,0.1886011863905489,0.1763972317707713,0.0011761645182958962
